course,courseLetter,courseNumber,relatedTo,relatedToCourseLetter,relatedToCourseNumber,How,,courseDictionary,courseLetter,courseNumber
AME 105,AME,105,MUH 105,MUH,105,CrossList,,AME 105,AME,105
AME 105,AME,105,Cultural Perspectives,,,GenEd,,AME 121,AME,121
AME 105,AME,105,Fine Arts,,,GenEd,,AME 122,AME,122
AME 105,AME,105,Humanities,,,GenEd,,AME 205,AME,205
AME 121,AME,121,American Studies Minor,,,Checksheet,,AME 264,AME,264
AME 121,AME,121,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 265,AME,265
AME 121,AME,121,ANT 121,ANT,121,CrossList,,AME 289,AME,289
AME 121,AME,121,Cultural Perspectives,,,GenEd,,AME 302,AME,302
AME 121,AME,121,Humanities,,,GenEd,,AME 303,AME,303
AME 121,AME,121,Social Science,,,GenEd,,AME 305,AME,305
AME 121,AME,121,ANT 308,ANT,308,Prereq,,AME 306,AME,306
AME 121,AME,121,HUM 308,HUM,308,Prereq,,AME 318,AME,318
AME 122,AME,122,American Studies Minor,,,Checksheet,,AME 335,AME,335
AME 122,AME,122,"Elementary Education, BS",,,Checksheet,,AME 340,AME,340
AME 122,AME,122,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 345,AME,345
AME 122,AME,122,ANT 122,ANT,122,CrossList,,AME 389,AME,389
AME 122,AME,122,Cultural Perspectives,,,GenEd,,AME 420,AME,420
AME 122,AME,122,Humanities,,,GenEd,,AME 430,AME,430
AME 122,AME,122,Social Science,,,GenEd,,AME 440,AME,440
AME 122,AME,122,ANT 308,ANT,308,Prereq,,AME 476,AME,476
AME 122,AME,122,HUM 308,HUM,308,Prereq,,AME 494,AME,494
AME 201W,AME,201W,American Studies Minor,,,Checksheet,,AME 496,AME,496
AME 201W,AME,201W,"Community Policing, AS",,,Checksheet,,AME 201W,AME,201W
AME 201W,AME,201W,Embodied Social Justice Minor,,,Checksheet,,AME 304W,AME,304W
AME 201W,AME,201W,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 308W,AME,308W
AME 201W,AME,201W,"Justice Studies, BS",,,Checksheet,,AME 370W,AME,370W
AME 201W,AME,201W,Critical Thinking,,,GenEd,,AME 458W,AME,458W
AME 201W,AME,201W,Cultural Perspectives,,,GenEd,,ANT 101,ANT,101
AME 201W,AME,201W,Humanities,,,GenEd,,ANT 121,ANT,121
AME 201W,AME,201W,Writing Intensive,,,GenEd,,ANT 122,ANT,122
AME 201W,AME,201W,AME 302,AME,302,Prereq,,ANT 289,ANT,289
AME 201W,AME,201W,AME 304W,AME,304W,Prereq,,ANT 294,ANT,294
AME 201W,AME,201W,AME 305,AME,305,Prereq,,ANT 308,ANT,308
AME 201W,AME,201W,AME 318,AME,318,Prereq,,ANT 394,ANT,394
AME 201W,AME,201W,AME 389,AME,389,Prereq,,ANT 489,ANT,489
AME 201W,AME,201W,AME 458W,AME,458W,Prereq,,ARC 100,ARC,100
AME 201W,AME,201W,AME 494,AME,494,Prereq,,ARC 101,ARC,101
AME 201W,AME,201W,AME 496,AME,496,Prereq,,ARC 102,ARC,102
AME 201W,AME,201W,ENG 318,ENG,318,Prereq,,ARC 110,ARC,110
AME 201W,AME,201W,ENG 458W,ENG,458W,Prereq,,ARC 120,ARC,120
AME 201W,AME,201W,SOC 302,SOC,302,Prereq,,ARC 123,ARC,123
AME 201W,AME,201W,SSC 305,SSC,305,Prereq,,ARC 194,ARC,194
AME 201W,AME,201W,WGS 304W,WGS,304W,Prereq,,ARC 203,ARC,203
AME 201W,AME,201W,WGS 305,WGS,305,Prereq,,ARC 204,ARC,204
AME 201W,AME,201W,WGS 318,WGS,318,Prereq,,ARC 212,ARC,212
AME 205,AME,205,American Studies Minor,,,Checksheet,,ARC 221,ARC,221
AME 205,AME,205,REL 205,REL,205,CrossList,,ARC 231,ARC,231
AME 205,AME,205,SSC 205,SSC,205,CrossList,,ARC 241,ARC,241
AME 205,AME,205,Cultural Perspectives,,,GenEd,,ARC 251,ARC,251
AME 205,AME,205,Humanities,,,GenEd,,ARC 261,ARC,261
AME 264,AME,264,INT 264,INT,264,CrossList,,ARC 262,ARC,262
AME 264,AME,264,Cultural Perspectives,,,GenEd,,ARC 286,ARC,286
AME 264,AME,264,Humanities,,,GenEd,,ARC 289,ARC,289
AME 265,AME,265,American Studies Minor,,,Checksheet,,ARC 294,ARC,294
AME 265,AME,265,DRA 265,DRA,265,CrossList,,ARC 305,ARC,305
AME 265,AME,265,Critical Thinking,,,GenEd,,ARC 306,ARC,306
AME 265,AME,265,Cultural Perspectives,,,GenEd,,ARC 312,ARC,312
AME 265,AME,265,Fine Arts,,,GenEd,,ARC 322,ARC,322
AME 265,AME,265,Humanities,,,GenEd,,ARC 332,ARC,332
AME 265,AME,265,DRA 389,DRA,389,Prereq,,ARC 350,ARC,350
AME 265,AME,265,DRA 394,DRA,394,Prereq,,ARC 361,ARC,361
AME 265,AME,265,DRA 494,DRA,494,Prereq,,ARC 406,ARC,406
AME 289,AME,289,Cultural Perspectives,,,GenEd,,ARC 407,ARC,407
AME 289,AME,289,Humanities,,,GenEd,,ARC 408,ARC,408
AME 302,AME,302,American Studies Minor,,,Checksheet,,ARC 417,ARC,417
AME 302,AME,302,Behavioral Science Minor,,,Checksheet,,ARC 421,ARC,421
AME 302,AME,302,SOC 302,SOC,302,CrossList,,ARC 431,ARC,431
AME 302,AME,302,Cultural Perspectives,,,GenEd,,ARC 441,ARC,441
AME 302,AME,302,Humanities,,,GenEd,,ARC 486,ARC,486
AME 303,AME,303,American Studies Minor,,,Checksheet,,ARC 489,ARC,489
AME 303,AME,303,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ARC 494,ARC,494
AME 303,AME,303,ENG 303,ENG,303,CrossList,,ARC 509,ARC,509
AME 303,AME,303,MUH 303,MUH,303,CrossList,,ARC 510,ARC,510
AME 303,AME,303,WGS 303,WGS,303,CrossList,,ARH 105,ARH,105
AME 303,AME,303,Cultural Perspectives,,,GenEd,,ARH 106,ARH,106
AME 303,AME,303,Humanities,,,GenEd,,ARH 206,ARH,206
AME 304W,AME,304W,American Studies Minor,,,Checksheet,,ARH 274,ARH,274
AME 304W,AME,304W,"Optional Women's, Gender, and Sexuality Studies Concentration",,,Checksheet,,ARH 289,ARH,289
AME 304W,AME,304W,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ARH 294,ARH,294
AME 304W,AME,304W,WGS 304W,WGS,304W,CrossList,,ARH 312,ARH,312
AME 304W,AME,304W,Cultural Perspectives,,,GenEd,,ARH 375,ARH,375
AME 304W,AME,304W,Humanities,,,GenEd,,ARH 389,ARH,389
AME 304W,AME,304W,Writing Intensive,,,GenEd,,ARH 394,ARH,394
AME 305,AME,305,American Studies Minor,,,Checksheet,,ARH 425,ARH,425
AME 305,AME,305,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,ARH 489,ARH,489
AME 305,AME,305,"Nursing (4-Year), BSN",,,Checksheet,,ARH 494,ARH,494
AME 305,AME,305,"Nursing (RN-BSN Completion), BSN",,,Checksheet,,ARH 214W,ARH,214W
AME 305,AME,305,"Optional Women's, Gender, and Sexuality Studies Concentration",,,Checksheet,,ARH 370W,ARH,370W
AME 305,AME,305,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ART 100,ART,100
AME 305,AME,305,SSC 305,SSC,305,CrossList,,ART 109,ART,109
AME 305,AME,305,WGS 305,WGS,305,CrossList,,ART 111,ART,111
AME 305,AME,305,Critical Thinking,,,GenEd,,ART 112,ART,112
AME 305,AME,305,Cultural Perspectives,,,GenEd,,ART 113,ART,113
AME 305,AME,305,Humanities,,,GenEd,,ART 114,ART,114
AME 306,AME,306,American Studies Minor,,,Checksheet,,ART 115,ART,115
AME 306,AME,306,"Optional Women's, Gender, and Sexuality Studies Concentration",,,Checksheet,,ART 140,ART,140
AME 306,AME,306,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ART 202,ART,202
AME 306,AME,306,WGS 306,WGS,306,CrossList,,ART 203,ART,203
AME 306,AME,306,Cultural Perspectives,,,GenEd,,ART 209,ART,209
AME 306,AME,306,Humanities,,,GenEd,,ART 210,ART,210
AME 308W,AME,308W,"Data Science, BS",,,Checksheet,,ART 215,ART,215
AME 308W,AME,308W,POS 308W,POS,308W,CrossList,,ART 219,ART,219
AME 308W,AME,308W,SOC 308W,SOC,308W,CrossList,,ART 221,ART,221
AME 308W,AME,308W,Cultural Perspectives,,,GenEd,,ART 229,ART,229
AME 308W,AME,308W,Humanities,,,GenEd,,ART 235,ART,235
AME 308W,AME,308W,Writing Intensive,,,GenEd,,ART 251,ART,251
AME 318,AME,318,American Studies Minor,,,Checksheet,,ART 289,ART,289
AME 318,AME,318,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ART 294,ART,294
AME 318,AME,318,ENG 318,ENG,318,CrossList,,ART 302,ART,302
AME 318,AME,318,WGS 318,WGS,318,CrossList,,ART 307,ART,307
AME 318,AME,318,Cultural Perspectives,,,GenEd,,ART 309,ART,309
AME 318,AME,318,Humanities,,,GenEd,,ART 310,ART,310
AME 335,AME,335,History Minor,,,Checksheet,,ART 315,ART,315
AME 335,AME,335,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,ART 319,ART,319
AME 335,AME,335,HTY 335,HTY,335,CrossList,,ART 321,ART,321
AME 335,AME,335,INT 335,INT,335,CrossList,,ART 330,ART,330
AME 335,AME,335,WGS 335,WGS,335,CrossList,,ART 335,ART,335
AME 335,AME,335,Cultural Perspectives,,,GenEd,,ART 351,ART,351
AME 335,AME,335,Humanities,,,GenEd,,ART 394,ART,394
AME 340,AME,340,American Studies Minor,,,Checksheet,,ART 409,ART,409
AME 340,AME,340,History Minor,,,Checksheet,,ART 415,ART,415
AME 340,AME,340,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,ART 419,ART,419
AME 340,AME,340,"Women's, Gender, & Sexuality Studies, Minor",,,Checksheet,,ART 420,ART,420
AME 340,AME,340,HTY 340,HTY,340,CrossList,,ART 421,ART,421
AME 340,AME,340,WGS 340,WGS,340,CrossList,,ART 425,ART,425
AME 340,AME,340,Cultural Perspectives,,,GenEd,,ART 430,ART,430
AME 340,AME,340,Humanities,,,GenEd,,ART 435,ART,435
AME 345,AME,345,HGH 345,HGH,345,CrossList,,ART 450,ART,450
AME 345,AME,345,INT 345,INT,345,CrossList,,ART 451,ART,451
AME 345,AME,345,WGS 345,WGS,345,CrossList,,ART 489,ART,489
AME 345,AME,345,Critical Thinking,,,GenEd,,ART 494,ART,494
AME 345,AME,345,Cultural Perspectives,,,GenEd,,ART 496,ART,496
AME 345,AME,345,Humanities,,,GenEd,,ART 550,ART,550
AME 370W,AME,370W,ARH 370W,ARH,370W,CrossList,,ART 610,ART,610
AME 370W,AME,370W,WGS 370W,WGS,370W,CrossList,,ASL 101,ASL,101
AME 370W,AME,370W,Cultural Perspectives,,,GenEd,,ASL 102,ASL,102
AME 370W,AME,370W,Fine Arts,,,GenEd,,ASL 201,ASL,201
AME 370W,AME,370W,Humanities,,,GenEd,,AVI 110,AVI,110
AME 370W,AME,370W,Writing Intensive,,,GenEd,,AVI 115,AVI,115
AME 389,AME,389,American Studies Minor,,,Checksheet,,AVI 116,AVI,116
AME 389,AME,389,Cultural Perspectives,,,GenEd,,AVI 120,AVI,120
AME 389,AME,389,Humanities,,,GenEd,,AVI 141,AVI,141
AME 420,AME,420,Embodied Social Justice Certificate,,,Checksheet,,AVI 145,AVI,145
AME 420,AME,420,"Nursing (4-Year), BSN",,,Checksheet,,AVI 150,AVI,150
AME 420,AME,420,"Nursing (RN-BSN Completion), BSN",,,Checksheet,,AVI 151,AVI,151
AME 420,AME,420,INT 420,INT,420,CrossList,,AVI 189,AVI,189
AME 420,AME,420,WGS 420,WGS,420,CrossList,,AVI 241,AVI,241
AME 420,AME,420,Cultural Perspectives,,,GenEd,,AVI 289,AVI,289
AME 420,AME,420,Humanities,,,GenEd,,AVI 320,AVI,320
AME 430,AME,430,American Studies Minor,,,Checksheet,,AVI 341,AVI,341
AME 430,AME,430,Embodied Social Justice Certificate,,,Checksheet,,AVI 380,AVI,380
AME 430,AME,430,Embodied Social Justice Minor,,,Checksheet,,AVI 389,AVI,389
AME 430,AME,430,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AVI 394,AVI,394
AME 430,AME,430,INT 430,INT,430,CrossList,,AVI 420,AVI,420
AME 430,AME,430,WGS 430,WGS,430,CrossList,,AVI 441,AVI,441
AME 430,AME,430,Critical Thinking,,,GenEd,,AVI 450,AVI,450
AME 430,AME,430,Cultural Perspectives,,,GenEd,,AVI 460,AVI,460
AME 430,AME,430,Humanities,,,GenEd,,AVI 144A,AVI,144A
AME 430,AME,430,Information Literacy,,,GenEd,,AVI 144B,AVI,144B
AME 440,AME,440,Embodied Social Justice Certificate,,,Checksheet,,AVI 244A,AVI,244A
AME 440,AME,440,INT 440,INT,440,CrossList,,AVI 244B,AVI,244B
AME 440,AME,440,WGS 440,WGS,440,CrossList,,AVI 344A,AVI,344A
AME 440,AME,440,Cultural Perspectives,,,GenEd,,AVI 344B,AVI,344B
AME 440,AME,440,Humanities,,,GenEd,,AVI 444A,AVI,444A
AME 458W,AME,458W,No Concentration in minor,,,Checksheet,,AVI 444B,AVI,444B
AME 458W,AME,458W,ENG 458W,ENG,458W,CrossList,,AVT 110,AVT,110
AME 458W,AME,458W,Cultural Perspectives,,,GenEd,,AVT 120,AVT,120
AME 458W,AME,458W,Humanities,,,GenEd,,AVT 130,AVT,130
AME 458W,AME,458W,Writing Intensive,,,GenEd,,AVT 140,AVT,140
AME 476,AME,476,History Minor,,,Checksheet,,AVT 210,AVT,210
AME 476,AME,476,HTY 476,HTY,476,CrossList,,AVT 220,AVT,220
AME 476,AME,476,Cultural Perspectives,,,GenEd,,AVT 230,AVT,230
AME 476,AME,476,Humanities,,,GenEd,,AVT 240,AVT,240
AME 494,AME,494,Cultural Perspectives,,,GenEd,,AVT 250,AVT,250
AME 494,AME,494,Humanities,,,GenEd,,AVT 260,AVT,260
AME 496,AME,496,Cultural Perspectives,,,GenEd,,AVT 289,AVT,289
AME 496,AME,496,Humanities,,,GenEd,,AVT 304,AVT,304
ANT 101,ANT,101,Social Science Minor,,,Checksheet,,AVT 305,AVT,305
ANT 101,ANT,101,"Social Science, AA",,,Checksheet,,AVT 310,AVT,310
ANT 101,ANT,101,"Social Science, BA",,,Checksheet,,AVT 320,AVT,320
ANT 101,ANT,101,Social Science,,,GenEd,,AVT 330,AVT,330
ANT 101,ANT,101,ANT 289,ANT,289,Prereq,,AVT 340,AVT,340
ANT 101,ANT,101,ANT 294,ANT,294,Prereq,,BIO 100,BIO,100
ANT 101,ANT,101,ANT 308,ANT,308,Prereq,,BIO 104,BIO,104
ANT 101,ANT,101,ANT 394,ANT,394,Prereq,,BIO 110,BIO,110
ANT 101,ANT,101,ANT 489,ANT,489,Prereq,,BIO 111,BIO,111
ANT 101,ANT,101,HUM 308,HUM,308,Prereq,,BIO 114,BIO,114
ANT 121,ANT,121,American Studies Minor,,,Checksheet,,BIO 115,BIO,115
ANT 121,ANT,121,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,BIO 116,BIO,116
ANT 121,ANT,121,AME 121,AME,121,CrossList,,BIO 123,BIO,123
ANT 121,ANT,121,Cultural Perspectives,,,GenEd,,BIO 202,BIO,202
ANT 121,ANT,121,Humanities,,,GenEd,,BIO 204,BIO,204
ANT 121,ANT,121,Social Science,,,GenEd,,BIO 210,BIO,210
ANT 121,ANT,121,ANT 308,ANT,308,Prereq,,BIO 215,BIO,215
ANT 121,ANT,121,HUM 308,HUM,308,Prereq,,BIO 235,BIO,235
ANT 122,ANT,122,American Studies Minor,,,Checksheet,,BIO 289,BIO,289
ANT 122,ANT,122,"Elementary Education, BS",,,Checksheet,,BIO 294,BIO,294
ANT 122,ANT,122,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,BIO 304,BIO,304
ANT 122,ANT,122,AME 122,AME,122,CrossList,,BIO 310,BIO,310
ANT 122,ANT,122,Cultural Perspectives,,,GenEd,,BIO 311,BIO,311
ANT 122,ANT,122,Humanities,,,GenEd,,BIO 318,BIO,318
ANT 122,ANT,122,Social Science,,,GenEd,,BIO 320,BIO,320
ANT 122,ANT,122,ANT 308,ANT,308,Prereq,,BIO 321,BIO,321
ANT 122,ANT,122,HUM 308,HUM,308,Prereq,,BIO 322,BIO,322
ANT 308,ANT,308,"Elementary Education, BS",,,Checksheet,,BIO 324,BIO,324
ANT 308,ANT,308,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,BIO 345,BIO,345
ANT 308,ANT,308,HUM 308,HUM,308,CrossList,,BIO 351,BIO,351
ANT 308,ANT,308,Humanities,,,GenEd,,BIO 394,BIO,394
ARC 100,ARC,100,"Dental Hygiene, BS",,,Checksheet,,BIO 420,BIO,420
ARC 100,ARC,100,"Liberal Studies, AA",,,Checksheet,,BIO 430,BIO,430
ARC 100,ARC,100,Fine Arts,,,GenEd,,BIO 435,BIO,435
ARC 101,ARC,101,"Architecture, B.Arch",,,Checksheet,,BIO 440,BIO,440
ARC 101,ARC,101,ARC 110,ARC,110,Coreq,,BIO 475,BIO,475
ARC 101,ARC,101,ARC 102,ARC,102,Prereq,,BIO 489,BIO,489
ARC 101,ARC,101,ARC 120,ARC,120,Prereq,,BIO 490,BIO,490
ARC 101,ARC,101,ARC 123,ARC,123,Prereq,,BIO 494,BIO,494
ARC 101,ARC,101,ARC 241,ARC,241,Prereq,,BIO 495,BIO,495
ARC 102,ARC,102,"Architecture, B.Arch",,,Checksheet,,BUA 100,BUA,100
ARC 102,ARC,102,ARC 120,ARC,120,Coreq,,BUA 101,BUA,101
ARC 102,ARC,102,ARC 203,ARC,203,Prereq,,BUA 151,BUA,151
ARC 102,ARC,102,ARC 251,ARC,251,Prereq,,BUA 201,BUA,201
ARC 102,ARC,102,ARC 286,ARC,286,Prereq,,BUA 202,BUA,202
ARC 102,ARC,102,ARC 289,ARC,289,Prereq,,BUA 205,BUA,205
ARC 110,ARC,110,"Architecture, B.Arch",,,Checksheet,,BUA 210,BUA,210
ARC 110,ARC,110,ARC 101,ARC,101,Coreq,,BUA 211,BUA,211
ARC 110,ARC,110,ARC 102,ARC,102,Prereq,,BUA 215,BUA,215
ARC 110,ARC,110,ARC 120,ARC,120,Prereq,,BUA 216,BUA,216
ARC 110,ARC,110,ARC 123,ARC,123,Prereq,,BUA 217,BUA,217
ARC 110,ARC,110,ARC 241,ARC,241,Prereq,,BUA 222,BUA,222
ARC 110,ARC,110,ARC 261,ARC,261,Prereq,,BUA 223,BUA,223
ARC 120,ARC,120,"Architecture, B.Arch",,,Checksheet,,BUA 230,BUA,230
ARC 120,ARC,120,ARC 102,ARC,102,Coreq,,BUA 241,BUA,241
ARC 123,ARC,123,"Architecture, B.Arch",,,Checksheet,,BUA 242,BUA,242
ARC 123,ARC,123,ARC 102,ARC,102,Coreq,,BUA 243,BUA,243
ARC 203,ARC,203,"Architecture, B.Arch",,,Checksheet,,BUA 246,BUA,246
ARC 203,ARC,203,ARC 204,ARC,204,Prereq,,BUA 247,BUA,247
ARC 203,ARC,203,ARC 350,ARC,350,Prereq,,BUA 248,BUA,248
ARC 204,ARC,204,"Architecture, B.Arch",,,Checksheet,,BUA 252,BUA,252
ARC 204,ARC,204,ARC 231,ARC,231,Prereq,,BUA 253,BUA,253
ARC 204,ARC,204,ARC 305,ARC,305,Prereq,,BUA 275,BUA,275
ARC 204,ARC,204,ARC 361,ARC,361,Prereq,,BUA 276,BUA,276
ARC 204,ARC,204,ARC 406,ARC,406,Prereq,,BUA 286,BUA,286
ARC 204,ARC,204,ARC 441,ARC,441,Prereq,,BUA 289,BUA,289
ARC 204,ARC,204,ARC 486,ARC,486,Prereq,,BUA 294,BUA,294
ARC 204,ARC,204,ARC 489,ARC,489,Prereq,,BUA 300,BUA,300
ARC 204,ARC,204,ARC 494,ARC,494,Prereq,,BUA 301,BUA,301
ARC 221,ARC,221,"Architecture, B.Arch",,,Checksheet,,BUA 303,BUA,303
ARC 221,ARC,221,ARC 305,ARC,305,Coreq,,BUA 310,BUA,310
ARC 221,ARC,221,ARC 306,ARC,306,Prereq,,BUA 320,BUA,320
ARC 221,ARC,221,ARC 322,ARC,322,Prereq,,BUA 343,BUA,343
ARC 221,ARC,221,ARC 417,ARC,417,Prereq,,BUA 350,BUA,350
ARC 221,ARC,221,ARC 510,ARC,510,Prereq,,BUA 351,BUA,351
ARC 231,ARC,231,"Architecture, B.Arch",,,Checksheet,,BUA 355,BUA,355
ARC 231,ARC,231,ARC 305,ARC,305,Coreq,,BUA 357,BUA,357
ARC 231,ARC,231,ARC 306,ARC,306,Prereq,,BUA 360,BUA,360
ARC 231,ARC,231,ARC 332,ARC,332,Prereq,,BUA 361,BUA,361
ARC 231,ARC,231,ARC 417,ARC,417,Prereq,,BUA 362,BUA,362
ARC 231,ARC,231,ARC 510,ARC,510,Prereq,,BUA 365,BUA,365
ARC 241,ARC,241,"Architecture, B.Arch",,,Checksheet,,BUA 369,BUA,369
ARC 241,ARC,241,ARC 406,ARC,406,Prereq,,BUA 376,BUA,376
ARC 241,ARC,241,ARC 431,ARC,431,Prereq,,BUA 379,BUA,379
ARC 241,ARC,241,ARC 441,ARC,441,Prereq,,BUA 380,BUA,380
ARC 251,ARC,251,"Architecture, B.Arch",,,Checksheet,,BUA 387,BUA,387
ARC 251,ARC,251,ARC 204,ARC,204,Coreq,,BUA 388,BUA,388
ARC 251,ARC,251,ARC 305,ARC,305,Prereq,,BUA 420,BUA,420
ARC 251,ARC,251,ARC 510,ARC,510,Prereq,,BUA 448,BUA,448
ARC 261,ARC,261,"Architecture, B.Arch",,,Checksheet,,BUA 450,BUA,450
ARC 261,ARC,261,ARC 203,ARC,203,Coreq,,BUA 458,BUA,458
ARC 261,ARC,261,ARC 262,ARC,262,Prereq,,BUA 459,BUA,459
ARC 261,ARC,261,ARC 305,ARC,305,Prereq,,BUA 487,BUA,487
ARC 261,ARC,261,ARC 332,ARC,332,Prereq,,BUA 489,BUA,489
ARC 261,ARC,261,ARC 350,ARC,350,Prereq,,BUA 495,BUA,495
ARC 261,ARC,261,ARC 406,ARC,406,Prereq,,BUA 259W,BUA,259W
ARC 262,ARC,262,"Architecture, B.Arch",,,Checksheet,,CGM 228,CGM,228
ARC 262,ARC,262,ARC 406,ARC,406,Prereq,,CGM 328,CGM,328
ARC 262,ARC,262,ARC 407,ARC,407,Prereq,,CHY 100,CHY,100
ARC 305,ARC,305,"Architecture, B.Arch",,,Checksheet,,CHY 103,CHY,103
ARC 305,ARC,305,ARC 306,ARC,306,Prereq,,CHY 108,CHY,108
ARC 306,ARC,306,"Architecture, B.Arch",,,Checksheet,,CHY 111,CHY,111
ARC 306,ARC,306,ARC 332,ARC,332,Coreq,,CHY 112,CHY,112
ARC 306,ARC,306,ARC 407,ARC,407,Prereq,,CHY 115,CHY,115
ARC 306,ARC,306,ARC 417,ARC,417,Prereq,,CHY 116,CHY,116
ARC 306,ARC,306,ARC 421,ARC,421,Prereq,,CHY 117,CHY,117
ARC 306,ARC,306,ARC 431,ARC,431,Prereq,,CHY 211,CHY,211
ARC 312,ARC,312,"Architecture, B.Arch",,,Checksheet,,CHY 212,CHY,212
ARC 312,ARC,312,ARH 312,ARH,312,CrossList,,CHY 294,CHY,294
ARC 312,ARC,312,Fine Arts,,,GenEd,,CHY 389,CHY,389
ARC 312,ARC,312,ARC 431,ARC,431,Prereq,,CHY 494,CHY,494
ARC 312,ARC,312,ARC 509,ARC,509,Prereq,,CIS 100,CIS,100
ARC 312,ARC,312,ARC 510,ARC,510,Prereq,,CIS 101,CIS,101
ARC 322,ARC,322,"Architecture, B.Arch",,,Checksheet,,CIS 103,CIS,103
ARC 322,ARC,322,ARC 306,ARC,306,Coreq,,CIS 110,CIS,110
ARC 322,ARC,322,ARC 407,ARC,407,Prereq,,CIS 120,CIS,120
ARC 322,ARC,322,ARC 417,ARC,417,Prereq,,CIS 131,CIS,131
ARC 322,ARC,322,ARC 510,ARC,510,Prereq,,CIS 135,CIS,135
ARC 332,ARC,332,"Architecture, B.Arch",,,Checksheet,,CIS 150,CIS,150
ARC 332,ARC,332,ARC 306,ARC,306,Coreq,,CIS 212,CIS,212
ARC 332,ARC,332,ARC 407,ARC,407,Prereq,,CIS 214,CIS,214
ARC 332,ARC,332,ARC 417,ARC,417,Prereq,,CIS 215,CIS,215
ARC 332,ARC,332,ARC 510,ARC,510,Prereq,,CIS 216,CIS,216
ARC 350,ARC,350,"Architecture, B.Arch",,,Checksheet,,CIS 218,CIS,218
ARC 350,ARC,350,ARC 407,ARC,407,Prereq,,CIS 219,CIS,219
ARC 350,ARC,350,ARC 417,ARC,417,Prereq,,CIS 220,CIS,220
ARC 350,ARC,350,ARC 510,ARC,510,Prereq,,CIS 221,CIS,221
ARC 361,ARC,361,"Architecture, B.Arch",,,Checksheet,,CIS 225,CIS,225
ARC 406,ARC,406,"Architecture, B.Arch",,,Checksheet,,CIS 228,CIS,228
ARC 406,ARC,406,ARC 421,ARC,421,Prereq,,CIS 231,CIS,231
ARC 407,ARC,407,"Architecture, B.Arch",,,Checksheet,,CIS 240,CIS,240
ARC 407,ARC,407,ARC 417,ARC,417,Coreq,,CIS 241,CIS,241
ARC 407,ARC,407,ARC 408,ARC,408,Prereq,,CIS 242,CIS,242
ARC 408,ARC,408,"Architecture, B.Arch",,,Checksheet,,CIS 243,CIS,243
ARC 408,ARC,408,ARC 509,ARC,509,Prereq,,CIS 244,CIS,244
ARC 417,ARC,417,"Architecture, B.Arch",,,Checksheet,,CIS 245,CIS,245
ARC 417,ARC,417,ARC 407,ARC,407,Coreq,,CIS 246,CIS,246
ARC 421,ARC,421,"Architecture, B.Arch",,,Checksheet,,CIS 248,CIS,248
ARC 431,ARC,431,"Architecture, B.Arch",,,Checksheet,,CIS 251,CIS,251
ARC 431,ARC,431,ARC 509,ARC,509,Coreq,,CIS 255,CIS,255
ARC 431,ARC,431,ARC 510,ARC,510,Prereq,,CIS 260,CIS,260
ARC 441,ARC,441,"Architecture, B.Arch",,,Checksheet,,CIS 262,CIS,262
ARC 441,ARC,441,ARC 510,ARC,510,Prereq,,CIS 275,CIS,275
ARC 509,ARC,509,"Architecture, B.Arch",,,Checksheet,,CIS 289,CIS,289
ARC 509,ARC,509,ARC 510,ARC,510,Prereq,,CIS 294,CIS,294
ARC 510,ARC,510,"Architecture, B.Arch",,,Checksheet,,CIS 303,CIS,303
ARH 105,ARH,105,"Architecture, B.Arch",,,Checksheet,,CIS 312,CIS,312
ARH 105,ARH,105,"Art, BA",,,Checksheet,,CIS 314,CIS,314
ARH 105,ARH,105,"Dental Hygiene, BS",,,Checksheet,,CIS 315,CIS,315
ARH 105,ARH,105,"Liberal Studies, AA",,,Checksheet,,CIS 319,CIS,319
ARH 105,ARH,105,"Public Administration, BS",,,Checksheet,,CIS 325,CIS,325
ARH 105,ARH,105,Cultural Perspectives,,,GenEd,,CIS 328,CIS,328
ARH 105,ARH,105,Fine Arts,,,GenEd,,CIS 330,CIS,330
ARH 105,ARH,105,Humanities,,,GenEd,,CIS 333,CIS,333
ARH 105,ARH,105,AME 370W,AME,370W,Prereq,,CIS 334,CIS,334
ARH 105,ARH,105,ARC 212,ARC,212,Prereq,,CIS 338,CIS,338
ARH 105,ARH,105,ARC 312,ARC,312,Prereq,,CIS 339,CIS,339
ARH 105,ARH,105,ARC 431,ARC,431,Prereq,,CIS 340,CIS,340
ARH 105,ARH,105,ARC 441,ARC,441,Prereq,,CIS 342,CIS,342
